RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
60,0,25345,Carl Pettersson,6.06,2040937,33665450
61,0,28475,Jeff Overton,5.95,1009630,16956000
62,0,20157,Retief Goosen,5.90,1044386,17697450
63,0,01766,Billy Mayfair,5.87,1814517,30933000
64,0,08191,Paul Broadhurst,5.86,169458,2892450
65,0,24361,Pat Perez,5.84,1678295,28722450
66,0,27060,John Mallinger,5.80,1681764,28980000
67,0,29416,Andy Bare,5.79,52142,900000
68,0,06643,Paul Goydos,5.71,1229354,21537000
69,0,29718,Anthony Kim,5.70,1545194,27108000
70,0,24236,Nick Dougherty,5.61,227921,4062450
71,0,07223,Brian Bateman,5.57,1022763,18360000
72,0,12510,Chad Campbell,5.47,1701242,31073450
73,0,25190,Jeff Quinney,5.46,1612056,29538000
74,0,25900,Lucas Glover,5.30,1664167,31395450
75,0,20850,Daniel Chopra,5.29,1755109,33156000
76,0,24490,George McNeill,5.27,1504626,28548000
77,0,12716,Charley Hoffman,5.24,1689366,32268450
78,0,06373,José María Olazábal,5.23,979249,18711000
79,0,01381,Fred Funk,5.20,1239376,23823000
79,0,06595,Kevin Sutherland,5.20,1351942,25992000
81,0,06197,Michael Allen,5.18,1016951,19620000
82,0,26596,Ryan Moore,5.13,1554901,30306450
83,0,23623,Bo Van Pelt,5.10,1559180,30582000
84,0,22348,Nick O'Hern,5.09,1342390,26373450
85,0,20572,Rod Pampling,5.05,1475970,29237450
