RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
62,0,06527,Steve Stricker,58' 6",PGA Champ,2,14 - Par 3
63,0,21731,Freddie Jacobson,58' 3",Travelers,1,16 - Par 3
64,0,33803,Lucas Bjerregaard,58' 1",PGA Champ,3,18 - Par 4
65,0,49451,Blake Morris,58' 0",The RSM Classic,2,11 - Par 4
66,0,10423,Mike Weir,58' 0",Wyndham,3,14 - Par 4
67,0,49960,Sepp Straka,57' 9",Safeway Open,3,5 - Par 5 -
68,0,24361,Pat Perez,57' 5",Byron Nelson,1,4 - Par 4 -
69,0,32102,Rickie Fowler,57' 3",Shriners,1,13 - Par 5
70,0,27895,Jonas Blixt,56' 7",Safeway Open,2,11 - Par 3
71,0,37380,Curtis Luck,56' 3",Valspar,2,5 - Par 5 -
72,0,54328,Norman Xiong,56' 2",Sanderson Farms,1,12 - Par 4
73,0,32200,Roberto Castro,55' 10",John Deere,4,11 - Par 4
74,0,34256,Andrew Putnam,55' 9",THE PLAYERS,1,9 - Par 5 -
75,0,50526,Tom Lovelady,55' 8",RBC Canadian,1,7 - Par 4 -
76,0,29926,Danny Lee,55' 6",Phoenix Open,3,7 - Par 3 -
77,0,46402,Talor Gooch,55' 6",Pebble Beach,3,1 - Par 4 -
78,0,33486,Roger Sloan,55' 6",Arnold Palmer,2,7 - Par 3 -
79,0,27095,Nick Watney,55' 5",Phoenix Open,2,3 - Par 5 -
80,0,35532,Tom Hoge,55' 4",Byron Nelson,2,4 - Par 4 -
81,0,34098,Russell Henley,55' 3",Phoenix Open,2,14 - Par 4
82,0,25818,Scott Piercy,55' 1",Byron Nelson,4,3 - Par 4 -
83,0,46414,Aaron Rai,54' 11",WGC-Mexico,2,2 - Par 4 -
84,0,45157,Cam Davis,54' 11",Honda Classic,1,16 - Par 4
85,0,29478,Kevin Kisner,54' 11",BMW Champ,2,11 - Par 4
86,0,37340,Chase Wright,54' 8",Wells Fargo,4,12 - Par 4
87,0,34046,Jordan Spieth,54' 7",WGC-Mexico,2,13 - Par 3
88,0,32139,Danny Willett,54' 6",the Memorial,1,13 - Par 4
89,0,27963,Chris Stroud,54' 6",John Deere,2,16 - Par 3
90,0,45486,Joaquin Niemann,54' 5",Travelers,4,11 - Par 3
91,0,31557,Jim Herman,54' 4",Barbasol,2,2 - Par 3 -
92,0,57364,Michael Thorbjornsen,54' 3",U.S. Open,4,5 - Par 3 -
93,0,26596,Ryan Moore,53' 11",Shriners,4,10 - Par 4
94,0,20850,Daniel Chopra,53' 10",Barbasol,1,18 - Par 4
95,0,45860,Case Cochran,53' 10",Barbasol,2,8 - Par 5 -
96,0,32816,Satoshi Kodaira,53' 9",Sentry,3,7 - Par 4 -
97,0,35449,Adam Long,53' 8",Travelers,1,9 - Par 4 -
98,0,24024,Zach Johnson,53' 6",Wyndham,3,13 - Par 4
99,0,30925,Dustin Johnson,53' 5",Sentry,3,11 - Par 3
100,0,51962,Kyle Ramey,53' 4",Sanderson Farms,1,16 - Par 4
101,0,25632,Jimmy Walker,53' 4",Arnold Palmer,2,14 - Par 3
102,0,49964,Aaron Wise,53' 3",Shriners,2,2 - Par 4 -
