"year","tournament_id","tournament_name"
"2012","R2012060","TOUR Championship by Coca-Cola"
"2012","R2012028","BMW Championship"
"2012","R2012505","Deutsche Bank Championship"
"2012","R2012027","The Barclays"
"2012","R2012013","Wyndham Championship"
"2012","R2012033","PGA Championship"
"2012","R2012476","World Golf Championships-Bridgestone Invitational"
"2012","R2012032","RBC Canadian Open"
"2012","R2012054","True South Classic"
"2012","R2012100","The Open Championship"
"2012","R2012030","John Deere Classic"
"2012","R2012490","The Greenbrier Classic"
"2012","R2012471","AT&T National"
"2012","R2012034","Travelers Championship"
"2012","R2012026","U.S. Open"
"2012","R2012025","FedEx St. Jude Classic"
"2012","R2012023","the Memorial Tournament presented by Nationwide Insurance"
"2012","R2012021","Crowne Plaza Invitational at Colonial"
"2012","R2012019","HP Byron Nelson Championship"
"2012","R2012011","THE PLAYERS Championship"
"2012","R2012480","Wells Fargo Championship"
"2012","R2012018","Zurich Classic of New Orleans"
"2012","R2012041","Valero Texas Open"
"2012","R2012012","RBC Heritage"
"2012","R2012014","Masters Tournament"
"2012","R2012020","Shell Houston Open"
"2012","R2012009","Arnold Palmer Invitational presented by MasterCard"
"2012","R2012475","Transitions Championship"
"2012","R2012473","World Golf Championships-Cadillac Championship"
"2012","R2012483","Puerto Rico Open presented by seepuertorico.com"
"2012","R2012010","The Honda Classic"
"2012","R2012457","Mayakoba Golf Classic"
"2012","R2012007","Northern Trust Open"
"2012","R2012005","AT&T Pebble Beach National Pro-Am"
"2012","R2012003","Waste Management Phoenix Open"
"2012","R2012004","Farmers Insurance Open"
"2012","R2012002","Humana Challenge in partnership with the Clinton Foundation"
"2012","R2012006","Sony Open in Hawaii"
"2012","R2012016","Hyundai Tournament of Champions"
"2011","R2011045","Children's Miracle Network Hospitals Classic"
"2011","R2011493","The McGladrey Classic"
"2011","R2011464","Frys.com Open"
"2011","R2011047","Justin Timberlake Shriners Hospitals for Children Open"
"2011","R2011060","TOUR Championship by Coca-Cola"
"2011","R2011028","BMW Championship"
"2011","R2011505","Deutsche Bank Championship"
"2011","R2011027","The Barclays"
"2011","R2011013","Wyndham Championship"
"2011","R2011033","PGA Championship"
"2011","R2011476","World Golf Championships-Bridgestone Invitational"
"2011","R2011472","Reno-Tahoe Open"
"2011","R2011490","The Greenbrier Classic"
"2011","R2011032","RBC Canadian Open"
"2011","R2011054","Viking Classic"
"2011","R2011100","The Open Championship"
"2011","R2011030","John Deere Classic"
"2011","R2011471","AT&T National"
"2011","R2011034","Travelers Championship"
"2011","R2011026","U.S. Open"
"2011","R2011025","FedEx St. Jude Classic"
"2011","R2011023","the Memorial Tournament presented by Nationwide Insurance"
"2011","R2011019","HP Byron Nelson Championship"
"2011","R2011021","Crowne Plaza Invitational at Colonial"
"2011","R2011011","THE PLAYERS Championship"
"2011","R2011480","Wells Fargo Championship"
"2011","R2011018","Zurich Classic of New Orleans"
"2011","R2011012","The Heritage"
"2011","R2011041","Valero Texas Open"
"2011","R2011014","Masters Tournament"
"2011","R2011020","Shell Houston Open"
"2011","R2011009","Arnold Palmer Invitational presented by MasterCard"
"2011","R2011475","Transitions Championship"
"2011","R2011473","World Golf Championships-Cadillac Championship"
"2011","R2011483","Puerto Rico Open presented by seepuertorico.com"
"2011","R2011010","The Honda Classic"
"2011","R2011457","Mayakoba Golf Classic at Riviera Maya-Cancun"
"2011","R2011007","Northern Trust Open"
"2011","R2011005","AT&T Pebble Beach National Pro-Am"
"2011","R2011003","Waste Management Phoenix Open"
"2011","R2011004","Farmers Insurance Open"
"2011","R2011002","Bob Hope Classic"
"2011","R2011006","Sony Open in Hawaii"
"2011","R2011016","Hyundai Tournament of Champions"
"2010","R2010045","Children's Miracle Network Classic"
"2010","R2010047","Justin Timberlake Shriners Hospitals for Children Open"
"2010","R2010464","Frys.com Open"
"2010","R2010493","The McGladrey Classic"
"2010","R2010054","Viking Classic"
"2010","R2010060","THE TOUR Championship presented by Coca-Cola"
"2010","R2010028","BMW Championship"
"2010","R2010505","Deutsche Bank Championship"
"2010","R2010027","The Barclays"
"2010","R2010013","Wyndham Championship"
"2010","R2010033","PGA Championship"
"2010","R2010481","Turning Stone Resort Championship"
"2010","R2010476","World Golf Championships-Bridgestone Invitational"
"2010","R2010490","The Greenbrier Classic"
"2010","R2010032","RBC Canadian Open"
"2010","R2010472","Reno-Tahoe Open"
"2010","R2010100","The Open Championship"
"2010","R2010030","John Deere Classic"
"2010","R2010471","AT&T National"
"2010","R2010034","Travelers Championship"
"2010","R2010026","U.S. Open Championship"
"2010","R2010025","St. Jude Classic presented by Smith & Nephew"
"2010","R2010023","the Memorial Tournament presented by Nationwide Insurance"
"2010","R2010021","Crowne Plaza Invitational at Colonial"
"2010","R2010019","HP Byron Nelson Championship"
"2010","R2010041","Valero Texas Open"
"2010","R2010011","THE PLAYERS Championship"
"2010","R2010480","Quail Hollow Championship"
"2010","R2010018","Zurich Classic of New Orleans"
"2010","R2010012","Verizon Heritage"
"2010","R2010014","Masters Tournament"
"2010","R2010020","Shell Houston Open"
