RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
100,0,34076,Joel Dahmen,154,72
100,0,47663,Kevin Dougherty,154,6
100,0,55789,Taylor Montgomery,154,5
103,0,24980,Scott Gutschewski,153,1
104,0,35450,Patrick Cantlay,152,57
104,0,26476,Chez Reavie,152,41
104,0,30927,Brendon Todd,152,38
104,0,27064,Jhonattan Vegas,152,18
108,0,34256,Andrew Putnam,150,59
109,0,28420,Ryan Brehm,148,6
109,0,34563,Chesson Hadley,148,8
109,0,28775,Nate Lashley,148,2
109,0,51890,Greyson Sigg,148,11
109,0,27649,Brandt Snedeker,148,5
114,0,38991,Alejandro Tosti,147,13
115,0,48117,Kurt Kitayama,146,64
116,0,51349,Nico Echavarria,145,51
116,0,35310,Lanto Griffin,145,1
116,0,54421,Garrick Higgo,145,0
116,0,51600,Jimmy Stanger,145,2
120,0,34374,Erik Barnes,144,16
120,0,57259,Daniel Brown,144,144
120,0,52514,Trace Crowe,144,5
120,0,27139,David Skinns,144,22
124,0,35461,Beau Hossler,143,3
124,0,49771,J.T. Poston,143,15
126,0,32640,Troy Merritt,142,0
126,0,50493,Justin Suh,142,85
128,0,46717,Viktor Hovland,139,48
128,0,24502,Adam Scott,139,34
130,0,22371,Aaron Baddeley,138,16
131,0,34466,Peter Malnati,137,19
132,0,52686,Rasmus Hojgaard,136,136
132,0,27129,Luke List,136,4
132,0,57900,Chandler Phillips,136,42
132,0,25493,Nick Taylor,136,5
132,0,45242,Kevin Yu,136,97
137,0,59836,Pierceson Coody,135,4
138,0,32839,Hideki Matsuyama,134,1
139,0,60004,Jacob Bridgeman,133,17
139,0,39977,Max Homa,133,64
139,0,51070,Vincent Norrman,133,7
139,0,29221,Webb Simpson,133,59
143,0,48084,Wesley Bryan,132,20
143,0,30926,Chris Kirk,132,20
145,0,32448,James Hahn,131,23
145,0,33968,ThorbjÃ¸rn Olesen,131,5
147,0,37212,Paul Barjon,130,8
147,0,26596,Ryan Moore,130,0
147,0,30163,Henrik Norlander,130,44
147,0,58168,Davis Thompson,130,0
151,0,45157,Cam Davis,129,21
151,0,40115,Adam Svensson,129,24
153,0,50095,Austin Smotherman,127,42
153,0,55454,Carl Yuan,127,45
155,0,59141,Matt McCarty,126,12
156,0,33408,Tyson Alexander,125,11
157,0,23108,Matt Kuchar,124,16
157,0,57366,Cameron Young,124,17
159,0,52372,Cameron Champ,122,15
159,0,27936,Martin Laird,122,27
159,0,47995,Davis Riley,122,61
162,0,40058,Zac Blair,121,16
162,0,34587,Chan Kim,121,16
162,0,39546,Keith Mitchell,121,0
165,0,55708,Hayden Buckley,120,14
165,0,33399,Adam Hadwin,120,82
165,0,46113,Ryan McCormick,120,10
168,0,55930,Fred Biondi,118,118
168,0,54783,Dylan Wu,118,7
170,0,47988,Nick Hardy,117,35
170,0,37378,Min Woo Lee,117,5
170,0,52666,Sami Valimaki,117,88
173,0,29535,Brice Garnett,116,16
