"course_id","facility_name","course_name","city","state","course_details_path"
"2670","McCloud GC","McCloud GC","McCloud","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2670"
"14302","McInnis Park GC","McInnis Park GC","San Rafael","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14302"
"7808","Meadow Club","Meadow Club","Fairfax","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7808"
"3649","Meadowlark Golf Club","Meadowlark Golf Club","Huntington Beach","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3649"
"14265","Meadowood Napa Valley GC","Meadowood Napa Valley GC","St. Helena","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14265"
"3620","Menifee Lakes Country Club","Menifee Lakes Country Club - LAKES","Menifee","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3620"
"3619","Menifee Lakes Country Club","Menifee Lakes Country Club - PALMS","Menifee","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3619"
"7795","Menlo CC","Menlo CC","Woodside","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7795"
"17947","Merced GCC","Merced GCC","Merced","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=17947"
"2482","Mesa Verde Country Club","Mesa Verde Country Club","Costa Mesa","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2482"
"2776","Metropolitan GL","Metropolitan GL","Oakland","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2776"
"2809","Micke Grove GL","Micke Grove GL","Lodi","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2809"
"3646","Mile Square Golf Course","Mile Square Golf Course","Fountain Valley","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3646"
"2751","Mill Valley GC","Mill Valley GC","Mill Valley","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2751"
"14689","Mill Valley GC","Mill Valley GC - Short Course","Mill Valley","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14689"
"3919","Miramar Memorial Golf Course","Miramar Memorial Golf Course","San Diego","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3919"
"17707","Mission Bay Golf Course","Mission Bay Golf Course","San Diego","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=17707"
"2479","Mission Hills Country Club","Mission Hills Country Club - ARNOLD PALMER Course","Rancho Mirage","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2479"
"2480","Mission Hills Country Club","Mission Hills Country Club - DINAH SHORE Tournament Course","Rancho Mirage","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2480"
"2481","Mission Hills Country Club","Mission Hills Country Club - PETE DYE CHALLENGE Course","Rancho Mirage","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2481"
"2674","Mission Hills GC","Mission Hills GC","Hayward","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2674"
"31709","Mission Hills North","Mission Hills North","Rancho Mirage","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31709"
"30391","Mission Lakes Country Club","Mission Lakes Country Club - BACK 9 (Played Twice)","Desert Hot Springs","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=30391"
"31341","Mission Lakes Country Club","Mission Lakes Country Club - FRONT 9 (Played Twice)","Desert Hot Springs","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=31341"
"2614","Mission Lakes Country Club","Mission Lakes Country Club","Desert Hot Springs","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2614"
"3930","Mission Trails Golf Course","Mission Trails Golf Course","San Diego","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3930"
"2478","Mission Viejo Country Club","Mission Viejo Country Club","Mission Viejo","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2478"
"17935","Moffett Field (GC at)","Moffett Field (GC at)","Sunnyvale","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=17935"
"2661","Monarch Bay GC","Monarch Bay GC - Marina","San Leandro","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2661"
"2807","Monarch Bay GC","Monarch Bay GC - Tony Lema","San Leandro","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2807"
