YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2015,0,26476,Chez Reavie,4.04,549,136
2015,0,22405,Justin Rose,4.04,643,159
2015,0,27214,Kevin Streelman,4.04,545,135
2015,0,23048,Eric Axley,4.05,770,190
2015,0,24925,Jonathan Byrd,4.05,721,178
2015,0,24494,Erik Compton,4.05,794,196
2015,0,31416,Derek Fathauer,4.05,819,202
2015,0,25900,Lucas Glover,4.05,340,84
2015,0,27936,Martin Laird,4.05,681,168
2015,0,26851,Marc Leishman,4.05,725,179
2015,0,22056,Cameron Percy,4.05,627,155
2015,0,25345,Carl Pettersson,4.05,855,211
2015,0,25240,D.A. Points,4.05,409,101
2015,0,20848,Ángel Cabrera,4.06,447,110
2015,0,23541,Ben Crane,4.06,601,148
2015,0,29535,Brice Garnett,4.06,577,142
2015,0,20157,Retief Goosen,4.06,516,127
2015,0,30852,Ryo Ishikawa,4.06,752,185
2015,0,30926,Chris Kirk,4.06,349,86
2015,0,23548,Bill Lunde,4.06,511,126
2015,0,29476,Kyle Reifers,4.06,609,150
2015,0,29223,Sam Saunders,4.06,734,181
2015,0,29425,Andrew Svoboda,4.06,572,141
2015,0,33448,Justin Thomas,4.06,722,178
2015,0,32150,Michael Thompson,4.06,731,180
2015,0,25274,Steven Bowditch,4.07,525,129
2015,0,25369,Jamie Donaldson,4.07,305,75
2015,0,25191,Gonzalo Fernandez-Castaño,4.07,765,188
2015,0,22892,Jason Gore,4.07,618,152
2015,0,34563,Chesson Hadley,4.07,741,182
2015,0,39977,Max Homa,4.07,952,234
2015,0,29926,Danny Lee,4.07,986,242
2015,0,27963,Chris Stroud,4.07,683,168
2015,0,27064,Jhonattan Vegas,4.07,1053,259
2015,0,28259,Sangmoon Bae,4.08,534,131
2015,0,33141,Keegan Bradley,4.08,815,200
2015,0,12510,Chad Campbell,4.08,750,184
2015,0,28679,Fabián Gómez,4.08,930,228
2015,0,24924,Bill Haas,4.08,567,139
2015,0,30944,Jason Kokrak,4.08,926,227
2015,0,25818,Scott Piercy,4.08,534,131
2015,0,24138,Ian Poulter,4.08,563,138
