YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2015,0,23541,Ben Crane,+.194
2015,0,25686,Jason Dufner,+.194
2015,0,8075,Jerry Kelly,+.194
2015,0,37454,Whee Kim,+.194
2015,0,40058,Zac Blair,+.196
2015,0,28500,Martin Flores,+.196
2015,0,39977,Max Homa,+.196
2015,0,24846,Ricky Barnes,+.200
2015,0,33461,Morgan Hoffmann,+.200
2015,0,30925,Dustin Johnson,+.200
2015,0,1706,Davis Love III,+.200
2015,0,30944,Jason Kokrak,+.205
2015,0,26851,Marc Leishman,+.205
2015,0,35532,Tom Hoge,+.206
2015,0,20229,Stewart Cink,+.208
2015,0,22405,Justin Rose,+.208
2015,0,33418,Shawn Stefani,+.211
2015,0,23638,Brendon de Jonge,+.212
2015,0,25818,Scott Piercy,+.214
2015,0,28486,Michael Putnam,+.214
2015,0,24925,Jonathan Byrd,+.216
2015,0,30852,Ryo Ishikawa,+.216
2015,0,24024,Zach Johnson,+.216
2015,0,25240,D.A. Points,+.217
2015,0,34360,Patrick Reed,+.217
2015,0,23800,Bryce Molder,+.220
2015,0,6567,Vijay Singh,+.222
2015,0,29478,Kevin Kisner,+.227
2015,0,27963,Chris Stroud,+.229
2015,0,22046,Geoff Ogilvy,+.231
2015,0,29425,Andrew Svoboda,+.231
2015,0,34358,Jonathan Randolph,+.233
2015,0,29221,Webb Simpson,+.233
2015,0,26300,Matt Jones,+.234
2015,0,25274,Steven Bowditch,+.235
2015,0,25562,Andres Romero,+.241
2015,0,31323,Gary Woodland,+.241
2015,0,31193,Jim Renner,+.242
2015,0,20766,Padraig Harrington,+.243
2015,0,29222,Billy Hurley III,+.244
2015,0,32150,Michael Thompson,+.244
2015,0,29479,Scott Brown,+.250
2015,0,27936,Martin Laird,+.250
2015,0,23548,Bill Lunde,+.250
2015,0,24140,Sean O'Hair,+.250
2015,0,30946,Alex Prugh,+.250
2015,0,24490,George McNeill,+.254
2015,0,25364,Paul Casey,+.255
2015,0,20472,Alex Cejka,+.255
2015,0,32839,Hideki Matsuyama,+.255
2015,0,21878,Mark Wilson,+.255
2015,0,34261,Scott Langley,+.256
2015,0,29476,Kyle Reifers,+.260
2015,0,20104,Ken Duke,+.261
2015,0,35451,Scott Pinckney,+.262
2015,0,32448,James Hahn,+.263
2015,0,28475,Jeff Overton,+.264
2015,0,35539,Luke Guthrie,+.269
2015,0,26331,Charl Schwartzel,+.269
2015,0,24924,Bill Haas,+.271
2015,0,29535,Brice Garnett,+.273
2015,0,29223,Sam Saunders,+.273
2015,0,25493,Nick Taylor,+.275
2015,0,34409,David Lingmerth,+.281
2015,0,33419,Cameron Tringale,+.282
2015,0,20771,Steven Alker,+.286
2015,0,24507,Jason Bohn,+.286
2015,0,12510,Chad Campbell,+.286
2015,0,34099,Harris English,+.286
2015,0,30692,Scott Stallings,+.286
2015,0,25804,Bubba Watson,+.286
2015,0,25892,Steve Wheatcroft,+.286
2015,0,23048,Eric Axley,+.290
2015,0,27895,Jonas Blixt,+.290
2015,0,29289,S.Y. Noh,+.292
2015,0,22892,Jason Gore,+.294
2015,0,26329,Louis Oosthuizen,+.300
2015,0,26476,Chez Reavie,+.300
2015,0,28780,Nicholas Thompson,+.303
2015,0,32200,Roberto Castro,+.304
2015,0,28259,Sangmoon Bae,+.305
2015,0,33399,Adam Hadwin,+.306
2015,0,23623,Bo Van Pelt,+.306
2015,0,24361,Pat Perez,+.310
2015,0,34563,Chesson Hadley,+.311
2015,0,23353,J.J. Henry,+.318
2015,0,33413,Ben Martin,+.320
2015,0,22293,Heath Slocum,+.320
2015,0,25632,Jimmy Walker,+.320
2015,0,26758,David Hearn,+.321
2015,0,27933,John Merrick,+.324
2015,0,27141,J.B. Holmes,+.333
2015,0,24494,Erik Compton,+.341
2015,0,20593,Greg Chalmers,+.345
2015,0,20848,Ángel Cabrera,+.346
2015,0,28679,Fabián Gómez,+.348
2015,0,28023,Byron Smith,+.348
2015,0,25834,Daniel Summerhays,+.352
2015,0,25191,Gonzalo Fernandez-Castaño,+.353
2015,0,34256,Andrew Putnam,+.364
2015,0,31557,Jim Herman,+.366
2015,0,10885,Robert Allenby,+.371
2015,0,33141,Keegan Bradley,+.371
2015,0,20691,Greg Owen,+.379
2015,0,30926,Chris Kirk,+.382
2015,0,30711,Colt Knost,+.390
2015,0,24781,Hunter Mahan,+.394
2015,0,27466,Spencer Levin,+.400
2015,0,22056,Cameron Percy,+.400
2015,0,32334,Charlie Beljan,+.407
2015,0,27095,Nick Watney,+.407
2015,0,34174,John Huh,+.408
2015,0,20645,John Senden,+.409
2015,0,28307,Matt Every,+.421
2015,0,24358,Robert Garrigus,+.429
2015,0,32366,Kevin Chappell,+.432
2015,0,21753,Brian Davis,+.442
2015,0,6522,Ernie Els,+.444
2015,0,2206,David Toms,+.476
2015,0,33486,Roger Sloan,+.500
2015,0,20396,Lee Westwood,+.500
2015,0,25349,Tim Wilkinson,+.500
2014,0,21209,Sergio Garcia,-.095
2014,0,28237,Rory McIlroy,-.056
2014,0,32448,James Hahn,E
2014,0,12716,Charley Hoffman,E
2014,0,35300,Andrew Loupe,E
2014,0,35539,Luke Guthrie,+.021
2014,0,27556,Ted Potter Jr.,+.040
2014,0,34360,Patrick Reed,+.052
2014,0,29461,Jamie Lovemark,+.053
2014,0,34563,Chesson Hadley,+.061
2014,0,27330,Josh Teater,+.068
2014,0,8075,Jerry Kelly,+.079
2014,0,20160,Charlie Wi,+.087
2014,0,36689,Brooks Koepka,+.091
2014,0,23320,Ryan Palmer,+.091
2014,0,27064,Jhonattan Vegas,+.096
2014,0,28500,Martin Flores,+.102
2014,0,24138,Ian Poulter,+.105
2014,0,24490,George McNeill,+.109
2014,0,21731,Freddie Jacobson,+.111
2014,0,24361,Pat Perez,+.118
2014,0,24024,Zach Johnson,+.119
2014,0,30944,Jason Kokrak,+.122
