YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
2012,194,0,29478,Kevin Kisner,34,Phoenix Open,3,14 - Par 4
2012,196,0,27141,J.B. Holmes,33,Wells Fargo,2,18 - Par 4
2012,199,0,27214,Kevin Streelman,33,The Greenbrier,1,17 - Par 5
2012,201,0,20472,Alex Cejka,32,RBC Heritage,1,16 - Par 4
2012,203,0,27466,Spencer Levin,32,AT&T Pebble,2,6 - Par 5 -
2012,204,0,28307,Matt Every,32,RBC Heritage,2,9 - Par 4 -
2012,206,0,8075,Jerry Kelly,31,Wyndham Champ.,4,14 - Par 4
2012,207,0,29518,Brendan Steele,31,Hyundai T of C,3,12 - Par 4
2012,208,0,12652,Cameron Beckman,31,Phoenix Open,1,17 - Par 4
2012,209,0,29289,S.Y. Noh,31,BMW Champ,4,8 - Par 4 -
2012,210,0,6573,Brandt Jobe,31,Honda Classic,4,10 - Par 4
2012,215,0,34261,Scott Langley,30,Honda Classic,4,6 - Par 4 -
2012,219,0,23718,Nathan Green,30,St. Jude,1,10 - Par 4
2012,221,0,30711,Colt Knost,30,Honda Classic,1,2 - Par 4 -
2012,223,0,28089,Jason Day,29,Transitions Chp,1,2 - Par 4 -
2012,228,0,11032,Frank Lickliter II,29,Transitions Chp,1,5 - Par 5 -
2012,231,0,1797,Rocco Mediate,29,The Greenbrier,1,11 - Par 4
2012,233,0,23452,Nicolas Colsaerts,29,Memorial Tourn,4,7 - Par 5 -
2012,234,0,24846,Ricky Barnes,29,HP Byron Nelson,2,6 - Par 4 -
2012,235,0,1707,Steve Lowery,29,True South Cl,1,7 - Par 5 -
2012,236,0,26758,David Hearn,29,Frys.com Open,1,6 - Par 4 -
2012,237,0,25345,Carl Pettersson,29,John Deere Clas,2,9 - Par 4 -
2012,238,0,32150,Michael Thompson,28,Sony Open,1,1 - Par 4 -
2012,240,0,29479,Scott Brown,28,Wyndham Champ.,1,11 - Par 4
2012,244,0,6251,Chris DiMarco,28,Texas Open,2,14 - Par 5
2012,247,0,24925,Jonathan Byrd,27,THE PLAYERS,1,9 - Par 5 -
2012,253,0,20645,John Senden,26,Northern Trust,3,4 - Par 3 -
2012,259,0,12067,Mitch Lowe,26,Frys.com Open,2,2 - Par 4 -
2012,261,0,22378,Trevor Immelman,26,Crowne Plaza,2,7 - Par 4 -
2012,267,0,20766,Padraig Harrington,25,St. Jude,1,3 - Par 5 -
2012,268,0,23320,Ryan Palmer,25,Northern Trust,3,14 - Par 3
2012,275,0,6643,Paul Goydos,25,Farmers Ins.,1,16 - Par 3
2012,277,0,27072,Alvaro Quiros,25,THE PLAYERS,4,14 - Par 4
2012,278,0,24781,Hunter Mahan,24,Farmers Ins.,1,15 - Par 4
2012,279,0,22371,Aaron Baddeley,24,WGC-Bridgestone,4,13 - Par 4
2012,281,0,28308,Troy Kelly,24,Travelers Champ,1,4 - Par 4 -
2012,284,0,31323,Gary Woodland,24,Frys.com Open,2,6 - Par 4 -
2012,292,0,1249,John Daly,24,The Greenbrier,2,8 - Par 3 -
2012,294,0,1473,Todd Hamilton,24,Frys.com Open,2,13 - Par 4
2012,301,0,6522,Ernie Els,23,HP Byron Nelson,2,4 - Par 4 -
2012,302,0,9011,David Duval,23,Arnold Palmer,2,2 - Par 3 -
2012,307,0,20572,Rod Pampling,23,Zurich Classic,2,11 - Par 5
2012,308,0,21350,Ryuji Imada,23,AT&T National,1,11 - Par 4
2012,309,0,27119,Koumei Oda,23,Sony Open,2,13 - Par 4
2012,312,0,26757,Greg Sonnier,23,True South Cl,2,9 - Par 4 -
2012,314,0,22913,John Rollins,23,Zurich Classic,3,3 - Par 3 -
2012,321,0,24140,Sean O'Hair,22,John Deere Clas,2,17 - Par 5
2012,322,0,32334,Charlie Beljan,22,Humana,1,4 - Par 4 -
2012,323,0,24361,Pat Perez,22,Crowne Plaza,3,8 - Par 3 -
2012,334,0,20859,Anders Hansen,22,WGC-Cadillac,2,17 - Par 4
2012,335,0,1619,Skip Kendall,22,True South Cl,3,6 - Par 4 -
2012,339,0,27095,Nick Watney,22,John Deere Clas,3,17 - Par 5
2012,343,0,33122,Russell Knox,22,JT Shriners,3,16 - Par 5
2012,345,0,23580,Tetsuji Hiratsuka,22,WGC-Cadillac,3,17 - Par 4
2012,347,0,27330,Josh Teater,22,Arnold Palmer,3,1 - Par 4 -
2012,351,0,24502,Adam Scott,21,BMW Champ,1,14 - Par 4
2012,354,0,27936,Martin Laird,21,Phoenix Open,4,7 - Par 3 -
2012,356,0,31558,J.J. Killeen,21,Texas Open,3,12 - Par 4
2012,358,0,19904,Paul Lawrie,21,WGC-Bridgestone,1,10 - Par 4
2012,359,0,8725,Tom Gillis,21,Deutsche Bank,2,16 - Par 3
2012,361,0,22548,Patrick Sheehan,21,St. Jude,4,14 - Par 3
2012,365,0,1161,Mark Calcavecchia,21,Honda Classic,2,2 - Par 4 -
2012,379,0,27797,Derek Lamely,20,Children's MNHC,1,15 - Par 3
2012,387,0,29222,Billy Hurley III,20,HP Byron Nelson,1,16 - Par 5
2012,388,0,8931,Glen Day,20,RBC Heritage,1,7 - Par 3 -
2012,393,0,25457,Alexandre Rocha,20,Children's MNHC,4,7 - Par 4 -
2012,397,0,8375,Paul Stankowski,20,St. Jude,1,9 - Par 4 -
2012,398,0,21959,Ted Purdy,20,True South Cl,2,7 - Par 5 -
2012,399,0,21407,Arjun Atwal,20,Sony Open,2,10 - Par 4
2012,403,0,30852,Ryo Ishikawa,20,Arnold Palmer,2,11 - Par 4
2012,405,0,26288,Andy Walker,20,Northern Trust,1,15 - Par 4
2012,419,0,25190,Jeff Quinney,19,Phoenix Open,1,3 - Par 5 -
2012,428,0,20098,Stuart Appleby,19,Frys.com Open,1,1 - Par 4 -
2012,431,0,6595,Kevin Sutherland,19,Phoenix Open,2,13 - Par 5
2012,432,0,26287,Roland Thatcher,19,Zurich Classic,1,7 - Par 5 -
2012,442,0,25834,Daniel Summerhays,19,RBC Heritage,1,2 - Par 5 -
2012,448,0,25720,Chad Collins,18,Northern Trust,2,14 - Par 3
2012,451,0,6621,Joe Durant,18,HP Byron Nelson,1,5 - Par 3 -
2012,453,0,28486,Michael Putnam,18,Travelers Champ,2,7 - Par 4 -
2012,462,0,25686,Jason Dufner,18,Sony Open,2,7 - Par 3 -
2012,469,0,1941,Tom Pernice Jr.,18,THE PLAYERS,2,8 - Par 3 -
2012,470,0,27770,Camilo Villegas,18,John Deere Clas,2,2 - Par 5 -
2012,473,0,35539,Luke Guthrie,18,St. Jude,4,16 - Par 5
2012,481,0,23108,Matt Kuchar,18,WGC-Bridgestone,4,8 - Par 4 -
2012,488,0,35299,Todd Camplin,18,RBC Heritage,1,12 - Par 4
2012,499,0,36683,Austin Gutgsell,17,St. Jude,2,13 - Par 4
2012,501,0,29670,Pablo Larrazabal,17,WGC-Cadillac,3,17 - Par 4
2012,503,0,35879,Kelly Kraft,17,Frys.com Open,1,15 - Par 5
2012,507,0,1928,Corey Pavin,17,Sony Open,3,17 - Par 3
2012,509,0,20691,Greg Owen,17,St. Jude,2,9 - Par 4 -
2012,511,0,19970,Robert Karlsson,17,Travelers Champ,1,14 - Par 4
2012,522,0,24357,K.J. Choi,17,The Greenbrier,1,13 - Par 4
2012,524,0,22046,Geoff Ogilvy,17,THE PLAYERS,3,5 - Par 4 -
2012,530,0,33120,Mark Anderson,17,The McGladrey,4,5 - Par 4 -
2012,537,0,8793,Tiger Woods,17,Memorial Tourn,4,16 - Par 3
2012,542,0,20127,Chris Riley,17,True South Cl,2,18 - Par 5
2012,543,0,27408,Martin Kaymer,17,THE PLAYERS,1,18 - Par 4
2012,566,0,24490,George McNeill,16,Wells Fargo,1,15 - Par 5
2012,568,0,28237,Rory McIlroy,16,WGC-Cadillac,3,2 - Par 4 -
2012,578,0,22621,Ben Curtis,16,Texas Open,2,11 - Par 4
2012,580,0,1381,Fred Funk,16,Honda Classic,1,17 - Par 3
2012,587,0,22582,Kyle Thompson,16,The McGladrey,4,3 - Par 3 -
2012,588,0,24663,Y.E. Yang,16,Travelers Champ,2,1 - Par 4 -
2012,591,0,1724,Jeff Maggert,16,Frys.com Open,2,4 - Par 4 -
2012,592,0,24494,Erik Compton,16,Humana,4,2 - Par 5 -
2012,597,0,1226,Fred Couples,16,Northern Trust,2,6 - Par 3 -
2012,602,0,10423,Mike Weir,15,Arnold Palmer,2,9 - Par 4 -
2012,608,0,12660,Jesper Parnevik,15,Honda Classic,1,10 - Par 4
2012,614,0,2246,Duffy Waldorf,15,Shell Houston,1,18 - Par 4
2012,622,0,29974,Branden Grace,15,Memorial Tourn,4,11 - Par 5
2012,626,0,2214,Kirk Triplett,15,Texas Open,2,8 - Par 5 -
2012,627,0,31202,William McGirt,15,St. Jude,2,17 - Par 4
2012,628,0,25900,Lucas Glover,15,Zurich Classic,2,16 - Par 4
2012,635,0,6004,Stephen Ames,15,Humana,4,13 - Par 4
2012,639,0,24912,Will MacKenzie,15,True South Cl,1,10 - Par 4
2012,655,0,11123,Chris Couch,15,THE PLAYERS,2,10 - Par 4
2012,660,0,24507,Jason Bohn,15,HP Byron Nelson,2,4 - Par 4 -
2012,661,0,30110,Kyle Stanley,15,Phoenix Open,3,13 - Par 5
2012,664,0,20436,Garrett Willis,14,True South Cl,2,9 - Par 4 -
2012,676,0,21951,Joey Snyder III,14,Travelers Champ,2,15 - Par 4
2012,681,0,27302,Garth Mulroy,14,WGC-Cadillac,2,9 - Par 3 -
2012,688,0,23614,Rich Beem,14,Children's MNHC,2,7 - Par 4 -
2012,689,0,23788,D.J. Trahan,14,Shell Houston,2,16 - Par 3
2012,702,0,22293,Heath Slocum,14,John Deere Clas,2,17 - Par 5
2012,703,0,20848,Ángel Cabrera,14,Frys.com Open,4,3 - Par 3 -
2012,707,0,35139,Richard Lee,14,Farmers Ins.,1,16 - Par 3
2012,710,0,8385,Omar Uresti,14,St. Jude,2,4 - Par 3 -
2012,712,0,27349,Alex Noren,14,WGC-Cadillac,3,13 - Par 3
2012,719,0,36883,Zack Reeves,14,True South Cl,1,14 - Par 4
2012,720,0,20445,Casey Martin,14,JT Shriners,1,15 - Par 4
2012,734,0,35104,Tom Lewis,14,WGC-Bridgestone,1,5 - Par 3 -
2012,756,0,19881,Robert Damron,13,St. Jude,2,13 - Par 4
2012,812,0,29461,Jamie Lovemark,13,John Deere Clas,2,17 - Par 5
2012,815,0,26668,Marc Turnesa,13,John Deere Clas,2,14 - Par 4
2012,819,0,27649,Brandt Snedeker,13,The Greenbrier,2,6 - Par 4 -
2012,848,0,23903,Stephen Gangluff,12,Sony Open,2,3 - Par 4 -
2012,854,0,26808,Tadahiro Takayama,12,WGC-Cadillac,2,7 - Par 4 -
2012,865,0,24083,Marcus Fraser,12,WGC-Cadillac,4,7 - Par 4 -
2012,871,0,8339,Spike McRoy,12,True South Cl,1,3 - Par 4 -
2012,884,0,36331,Austin Graham,12,Northern Trust,2,12 - Par 4
2012,930,0,33448,Justin Thomas,12,The Greenbrier,1,13 - Par 4
2012,943,0,25892,Steve Wheatcroft,11,Zurich Classic,2,17 - Par 3
2012,949,0,37340,Chase Wright,11,The McGladrey,1,8 - Par 4 -
2012,954,0,26499,Rafa Cabrera Bello,11,WGC-Bridgestone,1,10 - Par 4
2012,972,0,1978,Fran Quinn,11,St. Jude,1,8 - Par 3 -
2012,978,0,1761,Len Mattiace,11,True South Cl,4,10 - Par 4
2012,993,0,34358,Jonathan Randolph,11,True South Cl,3,5 - Par 5 -
2011,1,0,28679,Fabián Gómez,247,Wyndham Champ.,1,15 - Par 5
2011,2,0,33911,Nate Smith,221,Travelers Champ,3,5 - Par 3 -
2011,3,0,30692,Scott Stallings,214,Transitions Chp,3,8 - Par 3 -
2011,4,0,27141,J.B. Holmes,213,Wells Fargo,3,15 - Par 5
2011,5,0,27974,Sung Kang,209,AT&T Pebble,3,12 - Par 3
2011,6,0,22348,Nick O'Hern,209,AT&T Pebble,2,12 - Par 3
2011,7,0,10809,Jim Furyk,204,Crowne Plaza,4,8 - Par 3 -
2011,8,0,33419,Cameron Tringale,204,Transitions Chp,1,8 - Par 3 -
2011,9,0,24980,Scott Gutschewski,199,Frys.com Open,2,14 - Par 4
2011,10,0,6515,Shaun Micheel,198,Sony Open,2,17 - Par 3
2011,11,0,1619,Skip Kendall,196,Arnold Palmer,1,15 - Par 4
2011,12,0,10885,Robert Allenby,195,AT&T National,4,14 - Par 3
2011,13,0,6527,Steve Stricker,189,Memorial Tourn,2,8 - Par 3 -
2011,15,0,28089,Jason Day,187,THE PLAYERS,4,14 - Par 4
2011,16,0,22378,Trevor Immelman,186,Arnold Palmer,3,1 - Par 4 -
2011,17,0,19825,Darren Clarke,184,WGC-Bridgestone,1,8 - Par 4 -
2011,18,0,26668,Marc Turnesa,179,St. Jude,1,17 - Par 4
2011,19,0,23325,Vaughn Taylor,179,Shell Houston,3,5 - Par 4 -
2011,20,0,25834,Daniel Summerhays,177,The Heritage,2,17 - Par 3
2011,21,0,29518,Brendan Steele,175,Phoenix Open,2,12 - Par 3
2011,22,0,23621,Rory Sabbatini,173,Wells Fargo,3,16 - Par 4
2011,23,0,1810,Phil Mickelson,173,Deutsche Bank,3,12 - Par 4
2011,24,0,28475,Jeff Overton,171,Honda Classic,2,11 - Par 4
2011,25,0,6573,Brandt Jobe,171,Shell Houston,4,7 - Par 3 -
2011,27,0,11123,Chris Couch,166,Bob Hope,5,13 - Par 4
2011,28,0,22405,Justin Rose,164,Farmers Ins.,4,15 - Par 4
2011,29,0,20098,Stuart Appleby,163,Sony Open,1,16 - Par 4
2011,30,0,2206,David Toms,161,Transitions Chp,3,7 - Par 4 -
2011,31,0,34072,Will Strickler,160,HP Byron Nelson,2,1 - Par 4 -
2011,32,0,22293,Heath Slocum,160,Travelers Champ,2,17 - Par 4
2011,33,0,27797,Derek Lamely,159,Wyndham Champ.,2,16 - Par 3
2011,34,0,24604,Hunter Haas,159,Memorial Tourn,2,13 - Par 4
2011,35,0,24846,Ricky Barnes,158,Frys.com Open,1,4 - Par 4 -
2011,36,0,24490,George McNeill,157,Wyndham Champ.,1,6 - Par 4 -
2011,38,0,26420,Richard Johnson,155,St. Jude,1,12 - Par 4
2011,39,0,26289,Boo Weekley,152,Wells Fargo,3,12 - Par 4
2011,40,0,24290,D.J. Brigman,150,Travelers Champ,3,11 - Par 3
2011,41,0,26881,Jarrod Lyle,150,Phoenix Open,2,16 - Par 3
2011,44,0,20593,Greg Chalmers,146,Deutsche Bank,2,16 - Par 3
2011,45,0,27649,Brandt Snedeker,146,Deutsche Bank,2,16 - Par 3
2011,46,0,24925,Jonathan Byrd,146,Transitions Chp,2,7 - Par 4 -
2011,47,0,25274,Steven Bowditch,146,Texas Open,4,9 - Par 4 -
2011,48,0,1945,Kenny Perry,143,THE PLAYERS,4,6 - Par 4 -
2011,49,0,23623,Bo Van Pelt,141,Crowne Plaza,4,10 - Par 4
2011,50,0,32102,Rickie Fowler,133,Memorial Tourn,1,15 - Par 5
2011,51,0,29725,Tony Finau,131,Sony Open,2,3 - Par 4 -
2011,52,0,22371,Aaron Baddeley,131,TOUR Champ,3,4 - Par 4 -
2011,53,0,25686,Jason Dufner,131,Phoenix Open,1,8 - Par 4 -
2011,54,0,29718,Anthony Kim,130,HP Byron Nelson,4,6 - Par 4 -
2011,57,0,25457,Alexandre Rocha,129,Wyndham Champ.,1,2 - Par 4 -
2011,58,0,10505,Shane Bertsch,129,J. Timberlake,1,12 - Par 4
2011,59,0,32698,Bobby Gates,127,Viking Classic,1,13 - Par 4
2011,60,0,9011,David Duval,127,Arnold Palmer,2,5 - Par 4 -
2011,61,0,26596,Ryan Moore,126,THE PLAYERS,3,4 - Par 4 -
2011,63,0,1388,Robert Gamez,126,John Deere Clas,2,6 - Par 4 -
2011,64,0,29484,Peter Uihlein,125,Transitions Chp,2,7 - Par 4 -
2011,65,0,34021,Bud Cauley,125,Canadian Open,1,2 - Par 4 -
2011,66,0,23638,Brendon de Jonge,125,Bob Hope,4,16 - Par 4
2011,68,0,25632,Jimmy Walker,123,BMW Champ,2,17 - Par 4
2011,69,0,26882,Michael Sim,122,John Deere Clas,4,1 - Par 4 -
2011,70,0,7867,Woody Austin,121,Canadian Open,1,16 - Par 4
2011,71,0,25345,Carl Pettersson,120,Honda Classic,1,4 - Par 4 -
2011,72,0,24781,Hunter Mahan,120,Travelers Champ,3,6 - Par 5 -
2011,73,0,29221,Webb Simpson,119,The Barclays,1,5 - Par 5 -
2011,74,0,33413,Ben Martin,119,Farmers Ins.,3,13 - Par 5
2011,75,0,21961,Charles Howell III,118,Phoenix Open,2,18 - Par 4
2011,77,0,11032,Frank Lickliter II,118,Texas Open,4,12 - Par 4
2011,78,0,21949,Joe Ogilvie,117,Travelers Champ,1,14 - Par 4
2011,80,0,21209,Sergio Garcia,116,HP Byron Nelson,1,10 - Par 4
2011,84,0,31202,William McGirt,113,Viking Classic,4,3 - Par 4 -
2011,85,0,21878,Mark Wilson,112,The Heritage,1,13 - Par 4
2011,91,0,35532,Tom Hoge,108,Canadian Open,2,7 - Par 5 -
2011,93,0,26679,Kevin Stadler,106,J. Timberlake,3,7 - Par 4 -
2011,94,0,6251,Chris DiMarco,106,AT&T National,4,7 - Par 4 -
2011,96,0,24024,Zach Johnson,105,Wells Fargo,4,1 - Par 4 -
2011,97,0,12602,Dean Wilson,105,John Deere Clas,2,13 - Par 4
2011,98,0,24494,Erik Compton,105,AT&T National,1,11 - Par 4
2011,101,0,25572,Graeme McDowell,103,The McGladrey,1,5 - Par 4 -
2011,102,0,25562,Andres Romero,103,AT&T National,3,11 - Par 4
2011,103,0,31323,Gary Woodland,103,The Greenbrier,1,4 - Par 4 -
2011,104,0,27120,Troy Matteson,102,AT&T National,1,7 - Par 4 -
2011,105,0,32366,Kevin Chappell,102,Travelers Champ,2,2 - Par 4 -
2011,108,0,33399,Adam Hadwin,100,Frys.com Open,1,18 - Par 4
2011,109,0,25240,D.A. Points,100,AT&T Pebble,4,14 - Par 5
2011,110,0,20498,Briny Baird,99,Reno-Tahoe Open,1,2 - Par 5 -
2011,111,0,23322,Brett Wetterich,99,The Greenbrier,2,1 - Par 4 -
2011,112,0,21805,Harrison Frazar,98,Northern Trust,3,7 - Par 4 -
2011,113,0,1116,Michael Bradley,97,Honda Classic,1,4 - Par 4 -
2011,115,0,23814,Edoardo Molinari,96,Arnold Palmer,4,10 - Par 4
2011,116,0,23497,Tag Ridings,96,J. Timberlake,1,3 - Par 4 -
2011,117,0,20436,Garrett Willis,95,Transitions Chp,2,5 - Par 5 -
2011,119,0,28087,Kris Blanks,95,The Barclays,2,4 - Par 4 -
2011,120,0,6004,Stephen Ames,94,J. Timberlake,1,7 - Par 4 -
2011,121,0,23718,Nathan Green,94,Phoenix Open,2,2 - Par 4 -
2011,122,0,6522,Ernie Els,94,Hyundai T of C,4,13 - Par 4
2011,124,0,30926,Chris Kirk,94,Wyndham Champ.,2,17 - Par 4
2011,127,0,19846,Brian Gay,91,THE PLAYERS,1,12 - Par 4
2011,128,0,12510,Chad Campbell,91,THE PLAYERS,2,12 - Par 4
2011,129,0,25364,Paul Casey,91,Frys.com Open,4,15 - Par 5
2011,130,0,27963,Chris Stroud,91,THE PLAYERS,2,2 - Par 5 -
2011,131,0,26476,Chez Reavie,90,Memorial Tourn,3,11 - Par 5
2011,132,0,6567,Vijay Singh,87,Memorial Tourn,1,5 - Par 5 -
2011,133,0,8375,Paul Stankowski,87,Shell Houston,1,15 - Par 5
2011,135,0,30925,Dustin Johnson,86,Memorial Tourn,2,18 - Par 4
2011,136,0,2239,Scott Verplank,85,Shell Houston,3,10 - Par 4
2011,137,0,34255,Joseph Bramlett,84,Frys.com Open,1,17 - Par 4
2011,138,0,20070,Matt Bettencourt,84,AT&T Pebble,4,13 - Par 4
2011,142,0,30852,Ryo Ishikawa,76,WGC-Bridgestone,2,2 - Par 5 -
2011,144,0,24361,Pat Perez,75,Frys.com Open,2,9 - Par 5 -
2011,145,0,27770,Camilo Villegas,74,BMW Champ,3,10 - Par 4
2011,147,0,33141,Keegan Bradley,73,THE PLAYERS,2,12 - Par 4
2011,151,0,7457,Steve Flesch,66,Canadian Open,2,9 - Par 4 -
2011,152,0,24358,Robert Garrigus,66,Hyundai T of C,2,16 - Par 4
2011,153,0,21731,Freddie Jacobson,63,Deutsche Bank,3,7 - Par 5 -
2011,156,0,10733,Kent Jones,60,Wyndham Champ.,1,14 - Par 4
2011,157,0,1766,Billy Mayfair,57,Frys.com Open,1,15 - Par 5
2011,158,0,31401,Zack Miller,56,AT&T Pebble,1,18 - Par 5
2011,163,0,27936,Martin Laird,49,Wells Fargo,2,8 - Par 4 -
2011,166,0,1577,Lee Janzen,43,John Deere Clas,3,2 - Par 5 -
2011,167,0,26300,Matt Jones,41,Phoenix Open,2,3 - Par 5 -
2011,168,0,6016,Brad Lardon,41,Texas Open,2,14 - Par 5
2011,174,0,24507,Jason Bohn,39,The Heritage,4,2 - Par 5 -
2011,175,0,27466,Spencer Levin,38,BMW Champ,1,5 - Par 4 -
2011,178,0,28158,Steve Marino,37,Wells Fargo,1,14 - Par 4
2011,183,0,20095,Carl Paulson,36,Zurich Classic,2,3 - Par 3 -
2011,185,0,33451,Matt Hill,35,Canadian Open,2,10 - Par 4
2011,188,0,29910,Blake Adams,35,Travelers Champ,3,15 - Par 4
2011,189,0,23108,Matt Kuchar,35,The Heritage,4,18 - Par 4
2011,190,0,10860,Justin Leonard,35,Phoenix Open,2,17 - Par 4
2011,193,0,8075,Jerry Kelly,34,Deutsche Bank,1,18 - Par 5
2011,196,0,27330,Josh Teater,33,Canadian Open,2,14 - Par 4
2011,198,0,26758,David Hearn,33,Zurich Classic,2,11 - Par 5
2011,200,0,6621,Joe Durant,33,Travelers Champ,3,15 - Par 4
2011,201,0,23673,Michael Connell,33,Wyndham Champ.,1,11 - Par 4
2011,202,0,32640,Troy Merritt,33,Children's MNHC,3,10 - Par 5
2011,203,0,12716,Charley Hoffman,33,J. Timberlake,2,13 - Par 5
2011,204,0,20121,Todd Fischer,33,HP Byron Nelson,1,3 - Par 4 -
2011,205,0,21407,Arjun Atwal,33,Frys.com Open,4,3 - Par 3 -
2011,208,0,23541,Ben Crane,32,The Heritage,4,5 - Par 5 -
2011,209,0,35330,Nate Olivo,32,Wyndham Champ.,1,14 - Par 4
2011,210,0,21528,Henrik Stenson,32,Honda Classic,2,10 - Par 4
2011,211,0,25720,Chad Collins,32,Zurich Classic,2,17 - Par 3
2011,212,0,26851,Marc Leishman,32,Shell Houston,1,13 - Par 5
2011,213,0,26498,Matt Weibring,32,St. Jude,2,5 - Par 4 -
2011,214,0,20572,Rod Pampling,31,Wyndham Champ.,4,9 - Par 4 -
2011,216,0,23320,Ryan Palmer,31,Children's MNHC,3,4 - Par 5 -
2011,218,0,29420,Billy Horschel,31,Children's MNHC,1,5 - Par 4 -
2011,219,0,21350,Ryuji Imada,31,The Barclays,2,18 - Par 4
2011,220,0,32876,Martin Piller,31,Zurich Classic,1,4 - Par 4 -
2011,221,0,27064,Jhonattan Vegas,30,Memorial Tourn,1,18 - Par 4
2011,224,0,30946,Alex Prugh,30,THE PLAYERS,2,11 - Par 5
2011,227,0,30711,Colt Knost,29,The McGladrey,3,15 - Par 5
2011,228,0,6643,Paul Goydos,29,AT&T National,4,2 - Par 4 -
2011,231,0,23548,Bill Lunde,29,Wyndham Champ.,1,18 - Par 4
2011,235,0,35087,Bio Kim,29,The Heritage,2,7 - Par 3 -
2011,238,0,20766,Padraig Harrington,28,The Barclays,2,3 - Par 3 -
2011,239,0,20127,Chris Riley,28,The McGladrey,1,15 - Par 5
2011,240,0,24502,Adam Scott,28,THE PLAYERS,2,4 - Par 4 -
2011,246,0,28486,Michael Putnam,27,Northern Trust,4,13 - Par 4
2011,249,0,1175,Jim Carter,27,Zurich Classic,1,3 - Par 3 -
2011,250,0,24924,Bill Haas,27,Northern Trust,4,11 - Par 5
2011,251,0,30110,Kyle Stanley,27,Crowne Plaza,4,14 - Par 4
2011,255,0,25190,Jeff Quinney,27,The Greenbrier,3,17 - Par 5
2011,257,0,25396,Kevin Na,27,Frys.com Open,3,3 - Par 3 -
2011,258,0,10585,Scott McCarron,27,AT&T Pebble,1,2 - Par 5 -
2011,272,0,24663,Y.E. Yang,26,BMW Champ,4,16 - Par 4
2011,277,0,26331,Charl Schwartzel,25,Canadian Open,4,10 - Par 4
2011,286,0,1724,Jeff Maggert,25,Northern Trust,2,9 - Par 4 -
2011,287,0,20160,Charlie Wi,25,AT&T National,2,18 - Par 4
2011,292,0,23788,D.J. Trahan,25,Frys.com Open,2,5 - Par 4 -
2011,293,0,32878,Jin Jeong,24,Memorial Tourn,1,12 - Par 3
2011,309,0,24140,Sean O'Hair,23,Deutsche Bank,3,9 - Par 4 -
2011,311,0,20472,Alex Cejka,23,AT&T Pebble,3,16 - Par 4
2011,317,0,24912,Will MacKenzie,23,John Deere Clas,4,2 - Par 5 -
2011,319,0,31193,Jim Renner,23,Viking Classic,2,14 - Par 4
2011,320,0,29720,Andres Gonzales,23,The Greenbrier,1,15 - Par 3
2011,325,0,25818,Scott Piercy,23,Northern Trust,4,4 - Par 3 -
2011,330,0,33108,Drew Kittleson,23,J. Timberlake,2,9 - Par 5 -
2011,337,0,26287,Roland Thatcher,22,Reno-Tahoe Open,2,10 - Par 4
2011,349,0,27060,John Mallinger,22,Wyndham Champ.,4,9 - Par 4 -
2011,352,0,28620,Aron Price,22,J. Timberlake,4,4 - Par 4 -
2011,353,0,24357,K.J. Choi,22,TOUR Champ,4,17 - Par 4
2011,358,0,20157,Retief Goosen,21,THE PLAYERS,3,14 - Par 4
2011,360,0,2246,Duffy Waldorf,21,Sony Open,2,13 - Par 4
2011,362,0,12660,Jesper Parnevik,21,Transitions Chp,1,15 - Par 3
2011,363,0,7749,Brett Quigley,21,Viking Classic,1,16 - Par 4
2011,371,0,1706,Davis Love III,21,Wells Fargo,1,18 - Par 4
2011,375,0,27933,John Merrick,21,Zurich Classic,3,7 - Par 5 -
2011,379,0,25203,SSP Chawrasia,21,WGC-Cadillac,3,10 - Par 5
2011,382,0,29478,Kevin Kisner,21,St. Jude,2,5 - Par 4 -
2011,384,0,31114,Drew Weaver,21,Memorial Tourn,3,4 - Par 3 -
2011,394,0,1968,Nick Price,20,Honda Classic,1,15 - Par 3
2011,398,0,23409,James Driscoll,20,Texas Open,1,4 - Par 4 -
2011,402,0,1310,Dave Eichelberger,20,Sony Open,2,4 - Par 3 -
2011,408,0,23353,J.J. Henry,20,Children's MNHC,2,12 - Par 3
2011,409,0,27095,Nick Watney,20,THE PLAYERS,1,2 - Par 5 -
2011,411,0,22046,Geoff Ogilvy,20,WGC-Cadillac,1,17 - Par 4
2011,417,0,8725,Tom Gillis,20,Travelers Champ,1,1 - Par 4 -
2011,424,0,24138,Ian Poulter,20,WGC-Cadillac,2,8 - Par 5 -
2011,425,0,1928,Corey Pavin,19,THE PLAYERS,3,4 - Par 4 -
2011,426,0,2008,Lee Rinker,19,Honda Classic,2,8 - Par 4 -
2011,428,0,1157,Tom Byrum,19,Viking Classic,4,6 - Par 4 -
2011,446,0,25900,Lucas Glover,19,Northern Trust,2,14 - Par 3
2011,454,0,26951,Johnson Wagner,19,AT&T National,2,15 - Par 4
2011,458,0,31557,Jim Herman,19,The McGladrey,1,13 - Par 4
2011,459,0,22961,David Mathis,19,Crowne Plaza,1,7 - Par 4 -
2011,466,0,26695,Michael Letzig,18,Reno-Tahoe Open,4,1 - Par 4 -
2011,472,0,8537,J.P. Hayes,18,Viking Classic,4,9 - Par 4 -
2011,473,0,23983,Luke Donald,18,Deutsche Bank,2,9 - Par 4 -
