YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2023,85,0,49771,J.T. Poston,"15' 9""",502.833,32,-6
2023,87,0,20229,Stewart Cink,"15' 10""",380.917,24,-3
2023,87,0,27554,Scott Harrington,"15' 10""",253.417,16,E
2023,89,0,35901,Paul Haley II,"15' 11""",318.75,20,-6
2023,89,0,57975,Harry Hall,"15' 11""",476.5,30,-8
2023,89,0,33122,Russell Knox,"15' 11""",270.75,17,-4
2023,92,0,47591,Eric Cole,"16' 0""",464.417,29,+2
2023,92,0,47347,Adam Schenk,"16' 0""",528.083,33,-12
2023,94,0,49453,Trevor Cone,"16' 1""",451.333,28,-4
2023,94,0,57362,Austin Eckroat,"16' 1""",433.333,27,-2
2023,94,0,51414,Brent Grant,"16' 1""",401.667,25,-6
2023,94,0,40006,Erik van Rooyen,"16' 1""",306.083,19,-4
2023,98,0,54628,Lee Hodges,"16' 6""",198.083,12,-3
2023,98,0,51997,Andrew Novak,"16' 6""",446.0,27,-3
2023,100,0,39954,Cody Gribble,"16' 7""",132.333,8,-3
2023,101,0,31646,Emiliano Grillo,"16' 8""",283.75,17,-1
2023,101,0,34431,Robert Streb,"16' 8""",300.583,18,-1
2023,103,0,46717,Viktor Hovland,"16' 9""",285.25,17,+1
2023,103,0,46414,Aaron Rai,"16' 9""",318.75,19,-6
2023,105,0,35506,Mackenzie Hughes,"16' 10""",235.083,14,+2
2023,106,0,32366,Kevin Chappell,"16' 11""",67.75,4,-1
2023,106,0,34046,Jordan Spieth,"16' 11""",304.917,18,+3
2023,106,0,52411,Kyle Westmoreland,"16' 11""",525.083,31,+2
2023,109,0,31560,Brian Stuard,"17' 0""",153.167,9,-1
2023,110,0,35879,Kelly Kraft,"17' 1""",325.0,19,E
2023,110,0,34466,Peter Malnati,"17' 1""",340.833,20,-4
2023,110,0,47993,Denny McCarthy,"17' 1""",479.417,28,-2
2023,110,0,36871,Matt NeSmith,"17' 1""",392.417,23,-1
2023,110,0,50095,Austin Smotherman,"17' 1""",409.083,24,-2
2023,115,0,51766,Wyndham Clark,"17' 2""",533.083,31,-5
2023,115,0,35461,Beau Hossler,"17' 2""",601.333,35,-3
2023,115,0,51890,Greyson Sigg,"17' 2""",257.0,15,-1
2023,118,0,23320,Ryan Palmer,"17' 3""",207.083,12,-4
2023,118,0,30692,Scott Stallings,"17' 3""",396.833,23,+1
2023,120,0,29535,Brice Garnett,"17' 4""",156.083,9,E
2023,120,0,12716,Charley Hoffman,"17' 4""",364.667,21,-3
2023,120,0,50188,S.H. Kim,"17' 4""",467.917,27,E
2023,120,0,25818,Scott Piercy,"17' 4""",364.167,21,-2
