YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2023,118,0,39058,Lucas Herbert,11.48%,61,7.0
2023,119,0,30163,Henrik Norlander,11.43%,105,12.0
2023,120,0,50493,Justin Suh,11.41%,149,17.0
2023,121,0,33448,Justin Thomas,11.34%,97,11.0
2023,122,0,52453,Nicolai Hojgaard,11.32%,53,6.0
2023,123,0,32839,Hideki Matsuyama,11.24%,89,10.0
2023,124,0,27129,Luke List,11.19%,134,15.0
2023,125,0,47988,Nick Hardy,11.11%,126,14.0
2023,125,0,22056,Cameron Percy,11.11%,72,8.0
2023,125,0,30692,Scott Stallings,11.11%,108,12.0
2023,125,0,58168,Davis Thompson,11.11%,144,16.0
2023,129,0,32139,Danny Willett,10.98%,82,9.0
2023,130,0,26476,Chez Reavie,10.96%,146,16.0
2023,131,0,45157,Cam Davis,10.94%,128,14.0
2023,132,0,28089,Jason Day,10.91%,110,12.0
2023,132,0,49947,Taylor Moore,10.91%,110,12.0
2023,134,0,49298,Kramer Hickok,10.81%,111,12.0
2023,135,0,33399,Adam Hadwin,10.77%,130,14.0
2023,135,0,30927,Brendon Todd,10.77%,130,14.0
2023,137,0,33597,Harry Higgs,10.75%,93,10.0
2023,138,0,55454,Carl Yuan,10.68%,103,11.0
2023,139,0,24502,Adam Scott,10.67%,75,8.0
2023,140,0,19803,Ryan Armour,10.53%,114,12.0
2023,140,0,24925,Jonathan Byrd,10.53%,57,6.0
2023,142,0,40250,Taylor Pendrith,10.49%,143,15.0
2023,143,0,46046,Scottie Scheffler,10.48%,124,13.0
2023,144,0,49766,Hank Lebioda,10.34%,58,6.0
2023,144,0,29908,C.T. Pan,10.34%,58,6.0
2023,146,0,46414,Aaron Rai,10.32%,155,16.0
2023,147,0,34098,Russell Henley,10.29%,136,14.0
2023,148,0,28237,Rory McIlroy,10.26%,78,8.0
2023,149,0,39997,Corey Conners,10.24%,127,13.0
2023,150,0,51349,Nico Echavarria,10.23%,88,9.0
2023,151,0,35617,Martin Trainer,9.80%,51,5.0
2023,152,0,45522,Christiaan Bezuidenhout,9.68%,124,12.0
2023,153,0,57366,Cameron Young,9.65%,114,11.0
2023,154,0,47347,Adam Schenk,9.59%,146,14.0
2023,155,0,35901,Paul Haley II,9.57%,115,11.0
2023,156,0,46340,Alex Smalley,9.49%,137,13.0
2023,157,0,23108,Matt Kuchar,9.48%,116,11.0
2023,158,0,34076,Joel Dahmen,9.43%,106,10.0
