YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
2023,0,31202,William McGirt,264.3,102290.0,387
2023,0,19803,Ryan Armour,263.4,181237.5,688
2023,0,40058,Zac Blair,262.6,174115.7,663
2023,0,26596,Ryan Moore,260.3,172083.8,661
2023,0,34409,David Lingmerth,258.3,156809.9,607
2023,0,31560,Brian Stuard,254.8,117958.1,463
2022,0,56278,Matthew Wolff,309.9,88639.4,286
2022,0,28237,Rory McIlroy,309.3,128662.0,416
2022,0,34255,Joseph Bramlett,308.9,139915.0,453
2022,0,51766,Wyndham Clark,305.6,183346.4,600
2022,0,57366,Cameron Young,303.7,195559.9,644
2022,0,46550,Brandon Hagy,302.9,164754.8,544
2022,0,36689,Brooks Koepka,302.1,89721.7,297
2022,0,40250,Taylor Pendrith,301.8,167811.5,556
2022,0,46970,Jon Rahm,301.6,126659.6,420
2022,0,39058,Lucas Herbert,301.4,91911.8,305
2022,0,46601,Trey Mullinax,300.6,186970.8,622
2022,0,47483,Will Zalatoris,300.1,147373.1,491
2022,0,48117,Kurt Kitayama,299.9,117872.4,393
2022,0,27064,Jhonattan Vegas,299.8,147189.7,491
2022,0,52372,Cameron Champ,299.6,111141.7,371
2022,0,45157,Cam Davis,299.6,180341.1,602
2022,0,47504,Sam Burns,299.2,171144.0,572
2022,0,31323,Gary Woodland,298.0,127229.2,427
2022,0,27129,Luke List,297.8,178697.4,600
2022,0,54421,Garrick Higgo,297.5,95807.3,322
2022,0,32366,Kevin Chappell,297.0,111665.8,376
2022,0,30911,Tommy Fleetwood,296.8,88736.6,299
2022,0,39546,Keith Mitchell,295.9,192017.0,649
2022,0,33448,Justin Thomas,295.8,142558.7,482
2022,0,10381,Curtis Thompson,295.8,99099.6,335
2022,0,46046,Scottie Scheffler,295.7,180364.9,610
2022,0,30944,Jason Kokrak,295.4,100153.1,339
2022,0,35617,Martin Trainer,294.8,160066.6,543
2022,0,45540,Jared Wolfe,294.4,114817.3,390
2022,0,48699,Callum Tarren,294.1,138798.9,472
2022,0,35450,Patrick Cantlay,293.6,119510.0,407
2022,0,32102,Rickie Fowler,293.4,148160.6,505
2022,0,45486,Joaquin Niemann,293.1,142758.7,487
2022,0,33141,Keegan Bradley,293.0,163763.5,559
2022,0,48081,Xander Schauffele,293.0,120422.5,411
2022,0,24502,Adam Scott,293.0,165255.4,564
2022,0,29725,Tony Finau,292.9,176314.9,602
2022,0,37212,Paul Barjon,292.3,147600.9,505
2022,0,46717,Viktor Hovland,292.3,140315.0,480
2022,0,29518,Brendan Steele,292.2,173543.9,594
2022,0,35461,Beau Hossler,291.8,166027.1,569
2022,0,47995,Davis Riley,291.6,205028.5,703
2022,0,34046,Jordan Spieth,291.6,155735.9,534
2022,0,47988,Nick Hardy,291.5,109611.9,376
2022,0,47856,Seth Reeves,291.2,136875.1,470
2022,0,34363,Tyrrell Hatton,291.1,115570.7,397
2022,0,34264,Hudson Swafford,291.1,96928.5,333
2022,0,32333,Kevin Tway,291.1,160660.3,552
2022,0,49964,Aaron Wise,290.8,195106.6,671
2022,0,20229,Stewart Cink,290.6,139772.1,481
2022,0,37189,Harold Varner III,290.4,138812.9,478
2022,0,29970,Dylan Frittelli,290.1,189987.6,655
2022,0,32839,Hideki Matsuyama,290.1,131125.3,452
2022,0,30692,Scott Stallings,290.0,206742.0,713
2022,0,12716,Charley Hoffman,289.4,173086.8,598
2022,0,35891,Cameron Smith,289.3,118913.3,411
2022,0,26851,Marc Leishman,289.0,141901.5,491
2022,0,39977,Max Homa,288.7,187968.4,651
2022,0,50095,Austin Smotherman,288.5,165913.4,575
2022,0,31646,Emiliano Grillo,288.4,173603.1,602
2022,0,33667,Carlos Ortiz,288.4,143601.5,498
2022,0,39971,Sungjae Im,288.2,187351.4,650
2022,0,46442,Maverick McNealy,288.0,182862.4,635
2022,0,23320,Ryan Palmer,287.9,132149.0,459
2022,0,28089,Jason Day,287.8,126047.3,438
2022,0,40098,Matt Fitzpatrick,287.7,122571.3,426
2022,0,50525,Collin Morikawa,287.6,98056.3,341
2022,0,32757,Patton Kizzire,287.3,199949.9,696
2022,0,47347,Adam Schenk,287.3,187616.3,653
2022,0,29289,S.Y. Noh,287.1,126311.3,440
2022,0,26300,Matt Jones,287.0,136880.3,477
2022,0,36852,Jim Knous,287.0,94990.6,331
2022,0,24924,Bill Haas,286.9,165804.9,578
2022,0,33204,Shane Lowry,286.9,107859.6,376
2022,0,51894,Vince Whaley,286.9,187367.7,653
2022,0,32448,James Hahn,286.8,159471.0,556
2022,0,49960,Sepp Straka,286.8,172637.3,602
2022,0,36699,Patrick Rodgers,286.2,183169.6,640
2022,0,46402,Talor Gooch,285.9,99778.6,349
2022,0,32662,Michael Gligic,285.6,138496.9,485
2022,0,27349,Alex Noren,285.5,112467.5,394
2022,0,29926,Danny Lee,285.2,95813.7,336
2022,0,36871,Matt NeSmith,285.0,169306.6,594
2022,0,22405,Justin Rose,284.9,78925.2,277
2022,0,27139,David Skinns,284.9,126505.1,444
2022,0,54783,Dylan Wu,284.9,127632.4,448
2022,0,48822,Sebastián Muñoz,284.8,191100.5,671
2022,0,27095,Nick Watney,284.5,146529.5,515
2022,0,40006,Erik van Rooyen,284.4,75641.9,266
2022,0,32791,K.H. Lee,284.1,205420.5,723
2022,0,33486,Roger Sloan,284.1,160509.1,565
2022,0,39997,Corey Conners,283.8,196961.6,694
2022,0,34563,Chesson Hadley,283.8,148411.5,523
2022,0,21961,Charles Howell III,283.7,123426.8,435
2022,0,36799,Stephan Jaeger,283.7,189774.6,669
2022,0,48887,Matt Wallace,283.7,139846.0,493
2022,0,33597,Harry Higgs,283.6,177518.5,626
2022,0,29221,Webb Simpson,283.6,105233.2,371
2022,0,35310,Lanto Griffin,283.5,161604.9,570
2022,0,55708,Hayden Buckley,283.3,187807.1,663
2022,0,32139,Danny Willett,283.3,107374.1,379
2022,0,35532,Tom Hoge,283.2,191158.8,675
2022,0,47529,Mito Pereira,283.2,206436.1,729
2022,0,49771,J.T. Poston,283.2,205298.9,725
2022,0,33419,Cameron Tringale,283.2,164796.3,582
2022,0,30926,Chris Kirk,283.0,168947.3,597
2022,0,48084,Wesley Bryan,282.9,86840.1,307
2022,0,54628,Lee Hodges,282.9,222625.3,787
2022,0,28252,Seamus Power,282.7,123256.9,436
2022,0,35506,Mackenzie Hughes,282.3,167689.4,594
2022,0,25198,Francesco Molinari,282.3,96820.7,343
2022,0,51890,Greyson Sigg,282.3,191993.1,680
2022,0,51634,Sahith Theegala,281.6,250589.7,890
2022,0,27895,Jonas Blixt,281.4,108625.4,386
2022,0,34431,Robert Streb,281.2,184458.6,656
2022,0,29420,Billy Horschel,281.1,124246.8,442
2022,0,33399,Adam Hadwin,280.9,182605.4,650
2022,0,31420,Anirban Lahiri,280.8,164277.6,585
2022,0,22056,Cameron Percy,280.7,85056.2,303
