RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
210,0,20766,Padraig Harrington,4,2,1,1,2019300
210,0,31557,Jim Herman,4,3,1,6,2019350
210,0,47989,Sam Horsfield,4,4,2,17,2019360
210,0,21961,Charles Howell III,4,1,1,13,2019390
210,0,24321,Kodai Ichihara,4,2,2,13,2019360
210,0,26735,Marty Jertson,4,0,1,15,2019320
210,0,47990,Kyle Jones,4,0,1,3,2019390
210,0,20094,Jonathan Kaye,4,0,2,10,2019180
210,0,32369,Sihwan Kim,4,1,2,12,2019050
210,0,37454,Whee Kim,4,3,1,15,2019390
210,0,29478,Kevin Kisner,4,1,4,2,2019160
210,0,36852,Jim Knous,4,1,2,17,2019240
210,0,32816,Satoshi Kodaira,4,0,2,9,2019230
