object_name,field_name,field_type,field_description
LeaderboardScoringDataV3,teeTime,SCALAR,"The `AWSTimestamp` scalar type provided by AWS AppSync, represents the number of seconds that have elapsed since `1970-01-01T00:00Z`. Negative values are also accepted and these represent the number of seconds till `1970-01-01T00:00Z`.  Timestamps are serialized and deserialized as integers. The minimum supported timestamp value is **`-31557014167219200`** which corresponds to `-1000000000-01-01T00:00Z`. The maximum supported timestamp value is **`31556889864403199`** which corresponds to `1000000000-12-31T23:59:59.999999999Z`."
LeaderboardScoringDataV3,totalStrokes,NON_NULL,
LeaderboardScoringDataV3,total,NON_NULL,
LeaderboardScoringDataV3,totalSort,NON_NULL,
LeaderboardScoringDataV3,thru,NON_NULL,
LeaderboardScoringDataV3,thruSort,NON_NULL,
LeaderboardScoringDataV3,score,NON_NULL,
LeaderboardScoringDataV3,scoreSort,NON_NULL,
LeaderboardScoringDataV3,movementDirection,NON_NULL,
LeaderboardScoringDataV3,movementAmount,NON_NULL,
LeaderboardScoringDataV3,position,NON_NULL,
LeaderboardScoringDataV3,rounds,NON_NULL,
LeaderboardScoringDataV3,roundHeader,NON_NULL,
LeaderboardScoringDataV3,roundStatus,NON_NULL,
