YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2022,62,0,46405,Sebastian Soderberg,$68780,68780,0.0
2022,63,0,48153,Matthieu Pavon,$67203,67203,0.0
2022,64,0,47056,Rikuya Hoshino,$66522,66522,0.0
2022,65,0,26328,Shaun Norris,$64647,64647,0.0
2022,66,0,29275,Naoto Nakanishi,$63780,63780,0.0
2022,67,0,34362,Laurie Canter,$63471,63471,0.0
2022,68,0,54364,Stephen Stallings Jr.,$62874,62874,0.0
2022,69,0,55893,Sam Stevens,$62198,62198,0.0
2022,70,0,34364,David Law,$60163,60163,0.0
2022,71,0,58594,Spencer Ralston,$58275,58275,0.0
2022,72,0,30957,Maximilian Kieffer,$58100,58100,0.0
2022,72,0,29370,Mikko Korhonen,$58100,58100,0.0
2022,72,0,33968,Thorbjørn Olesen,$58100,58100,0.0
2022,75,0,29936,Ryan Fox,$57400,57400,0.0
2022,76,0,45194,Marcus Armitage,$51923,51923,0.0
2022,77,0,50188,S.H. Kim,$51610,51610,0.0
2022,78,0,33674,Adrian Meronk,$51000,51000,0.0
2022,79,0,36514,Yuki Inamori,$50098,50098,0.0
2022,79,0,33689,Jinichiro Kozuma,$50098,50098,0.0
2022,79,0,31016,Tomoharu Otsuki,$50098,50098,0.0
2022,82,0,27958,Ryan Blaum,$48910,48910,0.0
2022,83,0,32252,Nino Bertasio,$47175,47175,0.0
2022,84,0,35557,Aaron Cockerill,$46174,46174,0.0
2022,85,0,29939,Fabrizio Zanotti,$46033,46033,0.0
2022,86,0,31138,Scott Jamieson,$45769,45769,0.0
2022,87,0,27330,Josh Teater,$45263,45263,0.0
2022,88,0,47461,Andrew Kozan,$43133,43133,0.0
2022,89,0,28938,Justin Harding,$41690,41690,0.0
2022,90,0,48632,Yuto Katsuragawa,$40600,40600,0.0
2022,91,0,28521,Ryutaro Nagano,$40397,40397,0.0
2022,92,0,47989,Sam Horsfield,$40048,40048,0.0
2022,93,0,27909,Wil Besseling,$38511,38511,0.0
2022,94,0,51491,Brandon Matthews,$37589,37589,0.0
2022,95,0,34310,Alexander Björk,$37200,37200,0.0
2022,95,0,34575,Adrian Otaegui,$37200,37200,0.0
2022,95,0,50584,Connor Syme,$37200,37200,0.0
2022,98,0,29954,Robert Dinwiddie,$35656,35656,0.0
2022,98,0,52453,Nicolai Hojgaard,$35656,35656,0.0
2022,98,0,23802,Brad Kennedy,$35656,35656,0.0
2022,98,0,45227,Lars Van Meijel,$35656,35656,0.0
2022,102,0,29476,Kyle Reifers,$35613,35613,0.0
2022,103,0,33870,Ashun Wu,$35305,35305,0.0
2022,104,0,33461,Morgan Hoffmann,$34393,34393,0.0
2022,105,0,48898,David Carey,$33625,33625,0.0
2022,105,0,28723,John Parry,$33625,33625,0.0
2022,107,0,54190,Richard Mansell,$32525,32525,0.0
2022,108,0,32070,Rafael Campos,$32185,32185,0.0
2022,109,0,54480,Justin De Los Santos,$31763,31763,0.0
2022,110,0,48933,Ryuichi Oiwa,$31442,31442,0.0
2022,111,0,46410,Jamie Rutherford,$31075,31075,0.0
2022,112,0,47579,Kyle Wilshire,$30927,30927,0.0
2022,113,0,33803,Lucas Bjerregaard,$30308,30308,0.0
2022,114,0,30996,Mark Baldwin,$30198,30198,0.0
2022,115,0,59160,John Pak,$28170,28170,0.0
2022,116,0,27899,Rikard Karlberg,$28150,28150,0.0
2022,117,0,45478,Julian Suri,$27565,27565,0.0
2022,118,0,51441,KK Limbhasut,$26527,26527,0.0
2022,119,0,49801,Preston Stanley,$24391,24391,0.0
2022,120,0,39327,Ben Silverman,$23679,23679,0.0
2022,121,0,39262,Alvaro Ortiz,$23287,23287,0.0
2022,122,0,36837,Julien Brun,$21909,21909,0.0
2022,122,0,32881,Hugo León,$21909,21909,0.0
2022,122,0,35706,Niklas Norgaard Moller,$21909,21909,0.0
2022,122,0,50057,Robin Roussel,$21909,21909,0.0
2022,126,0,55955,Matthew Jordan,$21840,21840,0.0
2022,127,0,51287,Ryo Hisatsune,$21791,21791,0.0
2022,128,0,39201,Nacho Elvira,$20160,20160,0.0
2022,128,0,50223,Ewen Ferguson,$20160,20160,0.0
2022,128,0,25841,Marc Warren,$20160,20160,0.0
